    0.147857019243030408E+01    0.111606185411553280E+02    0.102661711863925964E+01    0.417600167245864851E+00    0.111478668865178099E-02    0.145807833183271285E+01    0.825539130119759212E+00    0.671567253898157368E+01   -0.314552579773765210E+05
    0.143797143648974890E+01    0.111030028128549567E+02    0.975762501211517641E+00    0.112111287269481372E+00    0.232384171395411121E-02    0.114416668855332704E+01    0.779230629860563906E+00    0.671395192144788133E+01   -0.314551760637683801E+05
    0.143496204205320743E+01    0.115724669572501355E+02    0.108911403135946139E+01    0.173901701702318973E+00    0.192439576159192383E-02    0.112538235091166894E+01    0.853755911571296711E+00    0.670886152550714954E+01   -0.314550458521793553E+05
    0.135527372293424264E+01    0.108131602565540312E+02    0.895540563836331960E+00    0.492222290209633984E+00    0.199034904040334970E-02    0.136322827216253306E+01    0.727793224790228566E+00    0.671035344753646079E+01   -0.314548140613389296E+05
    0.143084578971280907E+01    0.112768675317157214E+02    0.107874262157353806E+01    0.362502001791087602E+00    0.507336390470958243E-03    0.133182660791158636E+01    0.864514921497455124E+00    0.670974909462099323E+01   -0.314540368694076460E+05
    0.148164270801666964E+01    0.113004330102403241E+02    0.107391442439270568E+01    0.178633641872172677E+00    0.461237954630988600E-03    0.123566448857307676E+01    0.851940553127891187E+00    0.671358547972874664E+01   -0.314540322294872167E+05
    0.142244909058133850E+01    0.114474688908936830E+02    0.966213492712413524E+00    0.203502023158471990E+00    0.722327682276369121E-03    0.110026382728306626E+01    0.746314425195636622E+00    0.670832245095593560E+01   -0.314538135818944356E+05
    0.143601374852136821E+01    0.116639582727125291E+02    0.106286423123073193E+01    0.234258695378882970E+00    0.153530704731125178E-02    0.111732632627932937E+01    0.822239492825745155E+00    0.670613912785128097E+01   -0.314536991530466585E+05
    0.148501802227897528E+01    0.113157910634300727E+02    0.100761291040871970E+01    0.475040523237328260E+00    0.210115386878850785E-02    0.156403696465704178E+01    0.816919923650813118E+00    0.671342580875055717E+01   -0.314533696980201203E+05
    0.148870303681371730E+01    0.117596472439542055E+02    0.109692227361428984E+01    0.154292539143644269E+00    0.738155397902617860E-03    0.112361093737062379E+01    0.851293652551565971E+00    0.670991153363456672E+01   -0.314532464565581540E+05
    0.141681099295575397E+01    0.110525757061309964E+02    0.100346905292054744E+01    0.444811254873617890E+00    0.661354871707930947E-03    0.141589163515809191E+01    0.813011178469452367E+00    0.671269794381516238E+01   -0.314532388678307216E+05
    0.139507856970634192E+01    0.111885323843569537E+02    0.966936413097843728E+00    0.468177670062036644E+00    0.127103310990844820E-02    0.132217772365892317E+01    0.775207261534939462E+00    0.670744797627602996E+01   -0.314530928478741625E+05
    0.145864087929261466E+01    0.115635695414348554E+02    0.106754221425398765E+01    0.612475590849156926E-01    0.286811523640784216E-02    0.109137605262850568E+01    0.842672141911034345E+00    0.671029055257672802E+01   -0.314530880184881244E+05
    0.142498809794099612E+01    0.116609310554432746E+02    0.998597343280337557E+00    0.490069054208927768E+00    0.109159188726015710E-02    0.135995326692791108E+01    0.779698453539001801E+00    0.670193399266767287E+01   -0.314530256559314403E+05
    0.148471753244723725E+01    0.118001116770436347E+02    0.104521501365445646E+01    0.317811416597299001E+00   -0.101214191312093416E-02    0.119127024089695199E+01    0.797887641907702783E+00    0.670577643818341507E+01   -0.314528064221987879E+05
