Nested Sampling Global Log-Evidence           :   -0.314705623337793295E+05  +/-    0.157499937469996687E+00

Dim No.       Mean        Sigma
   1    0.144000556468321772E+01    0.408360838407684640E-01
   2    0.114513793610196704E+02    0.278769640623363069E+00
   3    0.100141156019736632E+01    0.391504034617185595E-01
   4    0.296742648592861924E+00    0.138874244368486249E+00
   5    0.110139792986437262E-02    0.678591836009249548E-03
   6    0.120917096784190981E+01    0.145081378442390746E+00
   7    0.784493221568798083E+00    0.237883557496398647E-01
   8    0.670899583625062768E+01    0.213962760401857546E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.143170863682978933E+01
   2    0.113515904535594956E+02
   3    0.100127862475737639E+01
   4    0.425935424533981644E+00
   5    0.834886403502765884E-03
   6    0.134133655278118913E+01
   7    0.783525679173522005E+00
   8    0.670983814093768061E+01

MAP Parameters
Dim No.        Parameter
   1    0.140677367299521650E+01
   2    0.114043046678005897E+02
   3    0.985580746101519689E+00
   4    0.389955012714866156E+00
   5    0.778685180332028271E-03
   6    0.126086129296800764E+01
   7    0.769217833520487893E+00
   8    0.670470248439276695E+01
