Nested Sampling Global Log-Evidence           :   -0.314704515994603462E+05  +/-    0.156978304134895941E+00

Dim No.       Mean        Sigma
   1    0.143578938022620228E+01    0.451954595056980393E-01
   2    0.114117549365100057E+02    0.302821175829868450E+00
   3    0.995282956645821115E+00    0.403020120695317466E-01
   4    0.299972160509952013E+00    0.142945707770198299E+00
   5    0.119841162687315075E-02    0.693875618193288491E-03
   6    0.121328211501663485E+01    0.148531376052237263E+00
   7    0.782133862363677546E+00    0.241833407657511858E-01
   8    0.670911704753104843E+01    0.222213866340082930E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.141795708682536925E+01
   2    0.113160317113136966E+02
   3    0.100289256529310467E+01
   4    0.403974959074567874E+00
   5    0.856098324872156535E-03
   6    0.131212269330483089E+01
   7    0.787714303637340296E+00
   8    0.670852074982494173E+01

MAP Parameters
Dim No.        Parameter
   1    0.143383315079261076E+01
   2    0.113343357436049761E+02
   3    0.949558286286801057E+00
   4    0.538713521205970269E+00
   5    0.162110910511653605E-02
   6    0.143917268206188331E+01
   7    0.755145486687752054E+00
   8    0.671141869444184014E+01
